N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
1,13333.31667,1.600862999e+12,99999875,7500,0.0002608242045,13333.31667,125
5,2666.65,3.214629974e+11,99999375,37500,0.001304121022,2666.65,625
9,1481.464815,1.798407731e+11,99998875,67500,0.00234741784,1481.464815,1125
13,1025.624359,1.257399163e+11,99998375,97500,0.003390714658,1025.624359,1625
17,784.2970588,9.738063824e+10,99997875,127500,0.004434011476,784.2970588,2125
21,634.9039683,8.00534653e+10,99997375,157500,0.005477308294,634.9039683,2625
25,533.3166667,6.846298703e+10,99996875,187500,0.006520605112,533.3166667,3125
29,459.7534483,6.023539875e+10,99996375,217500,0.00756390193,459.7534483,3625
33,404.0237374,5.414783137e+10,99995875,247500,0.008607198748,404.0237374,4125
37,360.3436937,4.950622405e+10,99995375,277500,0.009650495566,360.3436937,4625
41,325.1865854,4.588736898e+10,99994875,307500,0.01069379238,325.1865854,5125
45,296.2796296,4.301853221e+10,99994375,337500,0.0117370892,296.2796296,5625
49,272.0921769,4.071603581e+10,99993875,367500,0.01278038602,272.0921769,6125
53,251.5556604,3.885165175e+10,99993375,397500,0.01382368284,251.5556604,6625
57,233.901462,3.733314587e+10,99992875,427500,0.01486697966,233.901462,7125
61,218.5625683,3.609247655e+10,99992375,457500,0.01591027647,218.5625683,7625
65,205.1115385,3.50783509e+10,99991875,487500,0.01695357329,205.1115385,8125
69,193.2200483,3.425137e+10,99991375,517500,0.01799687011,193.2200483,8625
73,186.2027467,3.400929174e+10,99990875,537000,0.01904016693,186.2027467,9125
77,186.2018156,3.460917793e+10,99990375,537000,0.02008346375,186.2018156,9625
81,186.2008845,3.520906413e+10,99989875,537000,0.02112676056,186.2008845,10125
85,186.1999534,3.580895032e+10,99989375,537000,0.02217005738,186.1999534,10625
89,186.1990223,3.640883651e+10,99988875,537000,0.0232133542,186.1990223,11125
93,186.1980912,3.700872271e+10,99988375,537000,0.02425665102,186.1980912,11625
97,186.1971601,3.76086089e+10,99987875,537000,0.02529994784,186.1971601,12125
101,186.1962291,3.820849509e+10,99987375,537000,0.02634324465,186.1962291,12625
105,186.195298,3.880838129e+10,99986875,537000,0.02738654147,186.195298,13125
109,186.1943669,3.940826748e+10,99986375,537000,0.02842983829,186.1943669,13625
113,186.1934358,4.000815367e+10,99985875,537000,0.02947313511,186.1934358,14125
117,186.1925047,4.060803986e+10,99985375,537000,0.03051643192,186.1925047,14625
