alpha,N_Rock,T,C,M_SE,R,J
0,72,186.2029795,3.385932019e+10,99991000,537000,0.0002821014332
0,72,186.2029795,3.385932019e+10,99991000,537000,0.0009662584076
0,72,186.2029795,3.385932019e+10,99991000,537000,0.001650415382
0,72,186.2029795,3.385932019e+10,99991000,537000,0.002334572356
0,72,186.2029795,3.385932019e+10,99991000,537000,0.003018729331
0,72,186.2029795,3.385932019e+10,99991000,537000,0.003702886305
0,72,186.2029795,3.385932019e+10,99991000,537000,0.004387043279
0,72,186.2029795,3.385932019e+10,99991000,537000,0.005071200254
0,72,186.2029795,3.385932019e+10,99991000,537000,0.005755357228
0,72,186.2029795,3.385932019e+10,99991000,537000,0.006439514202
0,72,186.2029795,3.385932019e+10,99991000,537000,0.007123671177
0,72,186.2029795,3.385932019e+10,99991000,537000,0.007807828151
0,72,186.2029795,3.385932019e+10,99991000,537000,0.008491985125
0,72,186.2029795,3.385932019e+10,99991000,537000,0.0091761421
0,72,186.2029795,3.385932019e+10,99991000,537000,0.009860299074
0,72,186.2029795,3.385932019e+10,99991000,537000,0.01054445605
0,72,186.2029795,3.385932019e+10,99991000,537000,0.01122861302
0,72,186.2029795,3.385932019e+10,99991000,537000,0.01191277
0,72,186.2029795,3.385932019e+10,99991000,537000,0.01259692697
0,72,186.2029795,3.385932019e+10,99991000,537000,0.01328108395
1,377269,98.40107076,5.660267742e+13,52841375,537000,0.007380089532
