N_Rock,T,C,M_SE,R,T_deploy,T_remain,M_direct
72,186.2029795,3.385932019e+10,99991000,537000,0.01877934272,186.2029795,9000
75,186.2022812,3.430923484e+10,99990625,537000,0.01956181534,186.2022812,9375
79,186.2013501,3.490912103e+10,99990125,537000,0.02060511215,186.2013501,9875
83,186.200419,3.550900722e+10,99989625,537000,0.02164840897,186.200419,10375
87,186.1994879,3.610889342e+10,99989125,537000,0.02269170579,186.1994879,10875
91,186.1985568,3.670877961e+10,99988625,537000,0.02373500261,186.1985568,11375
95,186.1976257,3.73086658e+10,99988125,537000,0.02477829943,186.1976257,11875
99,186.1966946,3.7908552e+10,99987625,537000,0.02582159624,186.1966946,12375
103,186.1957635,3.850843819e+10,99987125,537000,0.02686489306,186.1957635,12875
107,186.1948324,3.910832438e+10,99986625,537000,0.02790818988,186.1948324,13375
111,186.1939013,3.970821058e+10,99986125,537000,0.0289514867,186.1939013,13875
115,186.1929702,4.030809677e+10,99985625,537000,0.02999478352,186.1929702,14375
119,186.1920391,4.090798296e+10,99985125,537000,0.03103808033,186.1920391,14875
123,186.191108,4.150786915e+10,99984625,537000,0.03208137715,186.191108,15375
127,186.1901769,4.210775535e+10,99984125,537000,0.03312467397,186.1901769,15875
131,186.1892458,4.270764154e+10,99983625,537000,0.03416797079,186.1892458,16375
135,186.1883147,4.330752773e+10,99983125,537000,0.03521126761,186.1883147,16875
139,186.1873836,4.390741393e+10,99982625,537000,0.03625456442,186.1873836,17375
143,186.1864525,4.450730012e+10,99982125,537000,0.03729786124,186.1864525,17875
147,186.1855214,4.510718631e+10,99981625,537000,0.03834115806,186.1855214,18375
151,186.1845903,4.570707251e+10,99981125,537000,0.03938445488,186.1845903,18875
155,186.1836592,4.63069587e+10,99980625,537000,0.0404277517,186.1836592,19375
159,186.1827281,4.690684489e+10,99980125,537000,0.04147104851,186.1827281,19875
163,186.181797,4.750673109e+10,99979625,537000,0.04251434533,186.181797,20375
167,186.1808659,4.810661728e+10,99979125,537000,0.04355764215,186.1808659,20875
171,186.1799348,4.870650347e+10,99978625,537000,0.04460093897,186.1799348,21375
175,186.1790037,4.930638967e+10,99978125,537000,0.04564423579,186.1790037,21875
179,186.1780726,4.990627586e+10,99977625,537000,0.0466875326,186.1780726,22375
183,186.1771415,5.050616205e+10,99977125,537000,0.04773082942,186.1771415,22875
187,186.1762104,5.110604825e+10,99976625,537000,0.04877412624,186.1762104,23375
191,186.1752793,5.170593444e+10,99976125,537000,0.04981742306,186.1752793,23875
195,186.1743482,5.230582063e+10,99975625,537000,0.05086071987,186.1743482,24375
199,186.1734171,5.290570682e+10,99975125,537000,0.05190401669,186.1734171,24875
203,186.172486,5.350559302e+10,99974625,537000,0.05294731351,186.172486,25375
207,186.1715549,5.410547921e+10,99974125,537000,0.05399061033,186.1715549,25875
211,186.1706238,5.47053654e+10,99973625,537000,0.05503390715,186.1706238,26375
215,186.1696927,5.53052516e+10,99973125,537000,0.05607720396,186.1696927,26875
219,186.1687616,5.590513779e+10,99972625,537000,0.05712050078,186.1687616,27375
223,186.1678305,5.650502398e+10,99972125,537000,0.0581637976,186.1678305,27875
227,186.1668994,5.710491018e+10,99971625,537000,0.05920709442,186.1668994,28375
231,186.1659683,5.770479637e+10,99971125,537000,0.06025039124,186.1659683,28875
235,186.1650372,5.830468256e+10,99970625,537000,0.06129368805,186.1650372,29375
239,186.1641061,5.890456876e+10,99970125,537000,0.06233698487,186.1641061,29875
243,186.163175,5.950445495e+10,99969625,537000,0.06338028169,186.163175,30375
247,186.1622439,6.010434114e+10,99969125,537000,0.06442357851,186.1622439,30875
251,186.1613128,6.070422734e+10,99968625,537000,0.06546687533,186.1613128,31375
255,186.1603818,6.130411353e+10,99968125,537000,0.06651017214,186.1603818,31875
259,186.1594507,6.190399972e+10,99967625,537000,0.06755346896,186.1594507,32375
263,186.1585196,6.250388592e+10,99967125,537000,0.06859676578,186.1585196,32875
267,186.1575885,6.310377211e+10,99966625,537000,0.0696400626,186.1575885,33375
271,186.1566574,6.37036583e+10,99966125,537000,0.07068335942,186.1566574,33875
275,186.1557263,6.430354449e+10,99965625,537000,0.07172665623,186.1557263,34375
279,186.1547952,6.490343069e+10,99965125,537000,0.07276995305,186.1547952,34875
283,186.1538641,6.550331688e+10,99964625,537000,0.07381324987,186.1538641,35375
287,186.152933,6.610320307e+10,99964125,537000,0.07485654669,186.152933,35875
291,186.1520019,6.670308927e+10,99963625,537000,0.07589984351,186.1520019,36375
295,186.1510708,6.730297546e+10,99963125,537000,0.07694314032,186.1510708,36875
299,186.1501397,6.790286165e+10,99962625,537000,0.07798643714,186.1501397,37375
303,186.1492086,6.850274785e+10,99962125,537000,0.07902973396,186.1492086,37875
307,186.1482775,6.910263404e+10,99961625,537000,0.08007303078,186.1482775,38375
311,186.1473464,6.970252023e+10,99961125,537000,0.0811163276,186.1473464,38875
315,186.1464153,7.030240643e+10,99960625,537000,0.08215962441,186.1464153,39375
319,186.1454842,7.090229262e+10,99960125,537000,0.08320292123,186.1454842,39875
323,186.1445531,7.150217881e+10,99959625,537000,0.08424621805,186.1445531,40375
327,186.143622,7.210206501e+10,99959125,537000,0.08528951487,186.143622,40875
331,186.1426909,7.27019512e+10,99958625,537000,0.08633281168,186.1426909,41375
335,186.1417598,7.330183739e+10,99958125,537000,0.0873761085,186.1417598,41875
339,186.1408287,7.390172359e+10,99957625,537000,0.08841940532,186.1408287,42375
343,186.1398976,7.450160978e+10,99957125,537000,0.08946270214,186.1398976,42875
347,186.1389665,7.510149597e+10,99956625,537000,0.09050599896,186.1389665,43375
351,186.1380354,7.570138216e+10,99956125,537000,0.09154929577,186.1380354,43875
355,186.1371043,7.630126836e+10,99955625,537000,0.09259259259,186.1371043,44375
359,186.1361732,7.690115455e+10,99955125,537000,0.09363588941,186.1361732,44875
363,186.1352421,7.750104074e+10,99954625,537000,0.09467918623,186.1352421,45375
367,186.134311,7.810092694e+10,99954125,537000,0.09572248305,186.134311,45875
371,186.1333799,7.870081313e+10,99953625,537000,0.09676577986,186.1333799,46375
375,186.1324488,7.930069932e+10,99953125,537000,0.09780907668,186.1324488,46875
379,186.1315177,7.990058552e+10,99952625,537000,0.0988523735,186.1315177,47375
383,186.1305866,8.050047171e+10,99952125,537000,0.09989567032,186.1305866,47875
387,186.1296555,8.11003579e+10,99951625,537000,0.1009389671,186.1296555,48375
391,186.1287244,8.17002441e+10,99951125,537000,0.101982264,186.1287244,48875
395,186.1277933,8.230013029e+10,99950625,537000,0.1030255608,186.1277933,49375
399,186.1268622,8.290001648e+10,99950125,537000,0.1040688576,186.1268622,49875
403,186.1259311,8.349990268e+10,99949625,537000,0.1051121544,186.1259311,50375
407,186.125,8.409978887e+10,99949125,537000,0.1061554512,186.125,50875
411,186.1240689,8.469967506e+10,99948625,537000,0.107198748,186.1240689,51375
415,186.1231378,8.529956126e+10,99948125,537000,0.1082420449,186.1231378,51875
419,186.1222067,8.589944745e+10,99947625,537000,0.1092853417,186.1222067,52375
423,186.1212756,8.649933364e+10,99947125,537000,0.1103286385,186.1212756,52875
427,186.1203445,8.709921983e+10,99946625,537000,0.1113719353,186.1203445,53375
431,186.1194134,8.769910603e+10,99946125,537000,0.1124152321,186.1194134,53875
435,186.1184823,8.829899222e+10,99945625,537000,0.113458529,186.1184823,54375
439,186.1175512,8.889887841e+10,99945125,537000,0.1145018258,186.1175512,54875
443,186.1166201,8.949876461e+10,99944625,537000,0.1155451226,186.1166201,55375
447,186.115689,9.00986508e+10,99944125,537000,0.1165884194,186.115689,55875
451,186.1147579,9.069853699e+10,99943625,537000,0.1176317162,186.1147579,56375
455,186.1138268,9.129842319e+10,99943125,537000,0.118675013,186.1138268,56875
459,186.1128957,9.189830938e+10,99942625,537000,0.1197183099,186.1128957,57375
463,186.1119646,9.249819557e+10,99942125,537000,0.1207616067,186.1119646,57875
467,186.1110335,9.309808177e+10,99941625,537000,0.1218049035,186.1110335,58375
471,186.1101024,9.369796796e+10,99941125,537000,0.1228482003,186.1101024,58875
475,186.1091713,9.429785415e+10,99940625,537000,0.1238914971,186.1091713,59375
479,186.1082402,9.489774035e+10,99940125,537000,0.1249347939,186.1082402,59875
483,186.1073091,9.549762654e+10,99939625,537000,0.1259780908,186.1073091,60375
487,186.106378,9.609751273e+10,99939125,537000,0.1270213876,186.106378,60875
491,186.1054469,9.669739893e+10,99938625,537000,0.1280646844,186.1054469,61375
495,186.1045158,9.729728512e+10,99938125,537000,0.1291079812,186.1045158,61875
499,186.1035847,9.789717131e+10,99937625,537000,0.130151278,186.1035847,62375
503,186.1026536,9.84970575e+10,99937125,537000,0.1311945749,186.1026536,62875
507,186.1017225,9.90969437e+10,99936625,537000,0.1322378717,186.1017225,63375
511,186.1007914,9.969682989e+10,99936125,537000,0.1332811685,186.1007914,63875
515,186.0998603,1.002967161e+11,99935625,537000,0.1343244653,186.0998603,64375
519,186.0989292,1.008966023e+11,99935125,537000,0.1353677621,186.0989292,64875
523,186.0979981,1.014964885e+11,99934625,537000,0.1364110589,186.0979981,65375
527,186.097067,1.020963747e+11,99934125,537000,0.1374543558,186.097067,65875
531,186.0961359,1.026962609e+11,99933625,537000,0.1384976526,186.0961359,66375
535,186.0952048,1.03296147e+11,99933125,537000,0.1395409494,186.0952048,66875
539,186.0942737,1.038960332e+11,99932625,537000,0.1405842462,186.0942737,67375
543,186.0933426,1.044959194e+11,99932125,537000,0.141627543,186.0933426,67875
547,186.0924115,1.050958056e+11,99931625,537000,0.1426708399,186.0924115,68375
551,186.0914804,1.056956918e+11,99931125,537000,0.1437141367,186.0914804,68875
555,186.0905493,1.06295578e+11,99930625,537000,0.1447574335,186.0905493,69375
559,186.0896182,1.068954642e+11,99930125,537000,0.1458007303,186.0896182,69875
563,186.0886872,1.074953504e+11,99929625,537000,0.1468440271,186.0886872,70375
