alpha,N_Rock,T,C,M_SE,R,J
0,72,186.2029795,8.046208402e+11,99991000,537000,0.006681813143
0,72,186.2029795,8.046208402e+11,99991000,537000,0.007045984532
0,72,186.2029795,8.046208402e+11,99991000,537000,0.007410155921
0,72,186.2029795,8.046208402e+11,99991000,537000,0.00777432731
0,72,186.2029795,8.046208402e+11,99991000,537000,0.008138498698
0,72,186.2029795,8.046208402e+11,99991000,537000,0.008502670087
0,72,186.2029795,8.046208402e+11,99991000,537000,0.008866841476
0,72,186.2029795,8.046208402e+11,99991000,537000,0.009231012865
0,72,186.2029795,8.046208402e+11,99991000,537000,0.009595184254
0,72,186.2029795,8.046208402e+11,99991000,537000,0.009959355643
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01032352703
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01068769842
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01105186981
0,72,186.2029795,8.046208402e+11,99991000,537000,0.0114160412
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01178021259
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01214438398
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01250855536
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01287272675
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01323689814
0,72,186.2029795,8.046208402e+11,99991000,537000,0.01360106953
1,377237,98.40873612,5.700508628e+13,52845491.3,537000,0.007380664435
